Job Title,Company,Link,Job Description
Science LAB Assistant,LACAS SCHOOL NETWORK,/rc/clk?jk=075cb97c525f8753&bb=3acUX7FecYrtmkb49tsI49VrjU4EQnbqiv5PaPA6-0_z1LBtwrImuCJy2DXgu8wqY4tAYvnmAQEEEMR_smlqEzi5n7hWvLdoqdMqgLBsuNE%3D&xkcb=SoDM67M3DbSUYrwNHx0LbzkdCdPP&fccid=ee76956a450a0ee3&cmp=LACAS-SCHOOL-NETWORK&ti=Laboratory+Assistant&vjs=3,"Job Title: Science Lab AssistantLocation: Gulberg CampusCompany: LACAS School NetworkJob Type: Full-timeExperience: 3-4 yearsEducation: Bacholer or equivalentJob Description:We are seeking a highly skilled and experienced Science Lab Assistant to join our team. The ideal candidate should have a strong background in handling Matric and O Level science laboratories and possess excellent organizational and communication skills.Responsibilities:Assist in the preparation of laboratory materials and equipment for science experiments and demonstrations.
Ensure the proper maintenance and cleanliness of the laboratory equipment and facilities.
Assist science teachers in conducting experiments and demonstrations during classes.
Help students understand laboratory procedures and safety protocols.
Manage inventory and order supplies as needed.
Keep detailed records of laboratory activities and experiments.
Troubleshoot technical issues with laboratory equipment and make necessary repairs or recommendations for repairs.
Follow all safety protocols and guidelines to ensure a safe working environment for students and staff.
Stay up-to-date with current trends and developments in science education and laboratory practices.
Perform other duties as assigned by the science department head or school administration.Requirements:3-4 years of experience working in a science laboratory setting, preferably in a school environment.
Matric/O Level or equivalent qualification in science-related subjects.
Strong understanding of laboratory procedures and safety protocols.
Excellent organizational and time-management skills.
Ability to work independently as well as part of a team.
Effective communication skills, both written and verbal.
Proficiency in basic computer applications.
Attention to detail and accuracy in recording data.
Ability to multitask and prioritize tasks effectively.
Flexibility to adapt to changing priorities and work schedules.We offer a competitive salary and benefits package commensurate with experience. If you meet the above qualifications and are passionate about science education, we encourage you to apply for this position. Please submit your resume and cover letter detailing your relevant experience and qualifications. Only shortlisted candidates will be contacted for interviews.Job Type: Full-timeSalary: Rs35,000.00 - Rs40,000.00 per monthEducation:Bachelor's (Required)Experience:Two: 2 years (Required)"
Microsoft Excel Expert,Progressive Resource,/rc/clk?jk=ca30fa0935fdfc32&bb=3acUX7FecYrtmkb49tsI4x52C17GmEuh8EhfhfU9Gf2sD50DOgw4DfaNKWJlpjL6Wil5VewBhGH72HQ-exzLiyqMIsB37WHolBkYEMH368g%3D&xkcb=SoB467M3DbSUYrwNHx0KbzkdCdPP&fccid=3dddca18de1202aa&cmp=Progressive-Resource&ti=Microsoft+Excel+Expert&vjs=3,"Key Responsibilities:Collect data from various sources, ensuring accuracy and completeness for analysis.
Analyze information to uncover insights, trends, and valuable findings.
Create well-structured and visually engaging reports and summaries to communicate research outcomes.
Support research efforts by gathering relevant data and assisting in investigations.
Collaborate with teams to provide insights and solutions based on research.
Stay updated on research methods and tools to enhance your expertise.
Effectively present findings and recommendations for different audiences.Qualifications:Education & Skills: Bachelor's degree in a relevant field, such as Business, Social Sciences, or a related discipline and Strong ability to analyze data and purify it into meaningful insights.Location; Jail Road Gulberg Lahore.Shift Timing: Mon to fri ( 6 PM to 3 AM ) Night ShiftJob Type: Full-timeSalary: Rs60,000.00 - Rs80,000.00 per month"
Admin Officer,The University of Lahore,/rc/clk?jk=14ee818fb1c66447&bb=3acUX7FecYrtmkb49tsI47IxjxUoi7zv4UOLn9Iur0P6l_ZFf48-3jVeRGHJYP5FAf02BDumUD8N1nXHd9Q9-ssrY8qSpDf3kxy5Dq1A_d8%3D&xkcb=SoDl67M3DbSUYrwNHx0JbzkdCdPP&fccid=a3e6fa62089b75e8&cmp=The-University-of-Lahore&ti=Administrative+Officer&vjs=3,"Education: Bachelor's/Master's Degree in management SciencesExperience: 1 year of relevant experience or fresh graduate can also be considered with good communication skills .Job ResponsibilitiesDevise and maintain office filing system
Communicate with students and other departments
Handle requests and queries appropriately
Manage diary and schedule meetings and appointments
Assist students with the application process, timetable, enrolments etc.
Manage and maintain student records, ensuring compliance with relevant data.Job Type: Full-time"
Creative Content Writer,Adequate Solutions,/rc/clk?jk=4fe01630a3dbbaca&bb=3acUX7FecYrtmkb49tsI47V6vJtwLNqvmC3RsKgmLl0j9Nb2cKaJTn7wJf1VrbSco2cEsCtnb04WF72k7qcU8MQhmZi1U7wKV4doVPAO5X8%3D&xkcb=SoBR67M3DbSUYrwNHx0IbzkdCdPP&fccid=b6ef26ed0bb4ee47&cmp=ADEQUATE-SOLUTIONS&ti=Content+Writer&vjs=3,"Adequate Solutions is a dynamic and innovative IT consulting and marketing company located in Islamabad, Pakistan, committed to delivering cutting-edge solutions to meet the evolving needs of businesses in the digital age.At Adequate Solutions, we believe in fostering a collaborative and growth-oriented work environment where every team member contributes to our success. We value creativity, adaptability, and a passion for staying ahead in the fast-paced world of IT and marketing.Are you a talented wordsmith with a passion for helping individuals stand out in their professional pursuits? We're seeking a creative, energetic, and talented Freelance Creative Content Writer to join our team. As a content-driven service, we understand the importance of impactful and tailored documents in today's competitive job market.Our commitment to excellence, creativity, and satisfaction sets us apart in the industry. As a forward-thinking company, we are constantly exploring new avenues to enhance our offerings and contribute meaningfully to the success.We offer a great environment to learn new skills and progressive career growth awaits the selected candidate. To be successful in this position, you’ll need to be a self-starter, capable of delivering brilliant creative ideas, and show amazing attention to detail.ResponsibilitiesAs a Content Writer at Adequate Solutions, you'll play a crucial role in creating engaging and high-quality content for various platforms. Your responsibilities will include:Strong research skills to produce accurate and well-informed content
Knowledge of SEO principles and the ability to incorporate keywords seamlessly into your content
Research and analyze top SEO content topics
Collaborate with the marketing and design teams to create compelling and informative content for our website's service pages
Research and develop relevant and valuable blog posts on various digital marketing topics
Your blogs will not only establish our agency as thought leaders in the industry but also provide valuable insights to our audience, fostering engagement and driving organic traffic
Your writing will showcase our agency's expertise, services, and unique value proposition, attracting potential clients and building trust
Review and proofread your own work to maintain high-quality content, ensuring that it is error-free, well-structured, and adheres to the agency's brand voice and guidelines
Collaborate with other team members, including designers, marketers, and subject matter experts, to create comprehensive and impactful content that meets clients' needs and expectations
Stay up-to-date with the latest digital marketing trends, industry news, and best practices. Conduct research to gather valuable data and insights that will support your content creation effortsRequirementsBachelor’s Degree in Computer Science, Communication, Marketing, Journalism, English Literature or a relevant subjects
3 years of proven experience as a content writer
Work as part of a team and good soft skills
Think creatively and develop new ideas
A creative thinker with the ability to adapt writing style as per the target audience and client requirements
Excellent command of the English language and outstanding writing, editing, and proofreading skills with a keen eye for detail
Strong understanding of SEO principles and keyword research to optimize content for search engines
Ability to work under tight deadlines and manage multiple projects simultaneously
Be a great team player and ability to manage time efficiently under pressure
Strong ability to design with accessibility in mindIf you are a talented and passionate creative content writer and want to be part of a dynamic team, Adequate Solutions welcomes your application. Join us in shaping the future of IT and marketing solutions!Job Types: Full-time, Part-timePay: Rs20,000.00 - Rs30,000.00 per monthExpected hours: 25 – 30 per weekApplication Question(s):This is a remote job, are you available to join this position?
How much do you expect your salary per month?
Can you provide a brief introduction about yourself, your professional background, and experience in content writing?
Suppose a situation where an individual is unable to make payment due to financial constraints or other issues, but he commitment you that he will pay you in a few months or whenever the work is fully started, then he will pay you. Additionally, they commit not only to providing a salary but also offering comprehensive support throughout the duration of the long-term project. Would you consider collaborating with this person, and if so, what factors would influence your decision?
How do you approach educating others about sexual health and behavior, that these topics are very sensitive and not allowed in our society and religion?
How have you handled situations where a company or client’s sexual behaviors or issues conflicted with your personal beliefs or values. What is the best way to handle this situation?
Alhamdulillah we're a Muslim state, but there's concern: Why does Pakistan (being an Islamic country) ranked the top irrelevant websites (such as sexual content) searching nation in the world, according to Google? I'm uncertain about the accuracy of this information, but if true, what could be the reasons behind it?
Before submitting your application/resume, kindly please share your portfolio or Google drive link with me and answer all the above questions (because this is your initial test and please don't write more than 4-6 lines)?Education:Bachelor's (Preferred)Experience:content writing: 3 years (Preferred)"
Associate Data Scientist,i2c inc.,/rc/clk?jk=d023edfdbd0f3669&bb=3acUX7FecYrtmkb49tsI42_NeADubVv9kOapnS4Yl_YrQetOr5J8Wbx1fPTwJEUD23W-3jT6n-6ge6PNM-AfwHkPXBDIzOrO4lxkID3jtiw%3D&xkcb=SoDf67M3DbSUYrwNHx0PbzkdCdPP&fccid=64038196ee98fb05&vjs=3,"Conduct exploratory data analysis (EDA) to understand patterns, trends, and anomalies in large datasets.
 Clean, preprocess, and transform raw data into usable formats for analysis.
 Perform statistical analysis and hypothesis testing to derive actionable insights.
 Assist in the development and implementation of machine learning models for various business applications.
 Collaborate with senior data scientists to fine-tune models, optimize performance, and ensure scalability.
 Work on feature engineering and selection to enhance model accuracy.
 Utilize programming languages such as Python for data manipulation, analysis, and model development.
 Stay updated on industry best practices and emerging technologies in data science.
 Collaborate with cross-functional teams, including business analysts, software engineers, and domain experts, to understand requirements and deliver impactful solutions.
 Participate in knowledge-sharing sessions and contribute to a collaborative team environment.
 Document data analysis methodologies, model development processes, and results.
 Prepare and present findings and insights to both technical and non-technical stakeholders.
 Create clear and concise reports to communicate complex concepts to diverse audiences.

We are looking for

 Education: BS or MS degree in a quantitative field such as Computer Science, Data Science, Statistics or a related discipline.
 Experience: Fresh to 1 year

Skills

 Strong programming skills in languages such Python and query language such as SQL.
 Familiarity with machine learning algorithms and techniques.
 Experience with data manipulation and analysis using libraries such as pandas, NumPy, or equivalent.
 Good understanding of statistical concepts and hypothesis testing.
 Excellent problem-solving skills and attention to detail.
 Knowledge of big data technologies (e.g., Spark, Hadoop) will be a plus.
 Strong communication skills to convey technical concepts to non-technical stakeholders.
 Ability to work collaboratively in a team environment.Perks & benefits 
At i2c, we want you to be well and thrive. Our global benefits package includes:




Vehicle Lease Facility




 Child Education Assistance




 Concierge Services




 On-site Day Care Facility




 Eid Bonus




 Gym and Play Area (Table tennis)




 Leaves Encashment




 Life Insurance




 Meals on House




 Provident Fund




 Value Creation Incentive Plan




 Recreational Trips




 Technical Certification Sponsorship




 Long Service Cash Rewards




 Performance Cash Rewards




 Cash Allowances




 Health Insurance




 Outpatient (Self, Spouse & Parents)




 Maternity Benefit




 Annual, Sick and Casual Leaves




 ATM, Vending Machine and Coffee Machines"
Academic Research writer(remote),Massive Dynamics Co. Ltd,/rc/clk?jk=0dfb7e4d69cd698f&bb=3acUX7FecYrtmkb49tsI49kaXW1811kcnzBbr7qtTK1O0cwH3ffbt374SFqGViV_6l4ibkt1j2E-m5w_QEzIba54Q8ZH9LlMckk6y2gTWzs%3D&xkcb=SoBr67M3DbSUYrwNHx0ObzkdCdPP&fccid=d7bb9f8f625889b9&cmp=watim-dental-college-%2526-Hospital%28Rawat%29-Islamabad&ti=Writer&vjs=3,"Seeking a Medical Academic Research Writer with a strong background in healthcare sciences. Responsibilities include conducting literature reviews, generating research proposals, and producing high-quality manuscripts for publication. Collaborate with interdisciplinary teams to ensure accuracy and relevance of content. Stay abreast of current medical advancements and research methodologies. Demonstrate proficiency in scientific writing, data analysis, and adherence to ethical guidelines. Strong communication skills for collaboration with researchers and stakeholders.RequirementMaster,MPHIL,PHD in Medcial Sciences or Relevant Field1-2 years experience as Academic Research writerTiming 3pm-12AM6 Days A weekJob Type: Full-timeSalary: Rs40,000.00 per monthExperience:Acdamic Reasarch writing: 1 year (Required)"
Business Data Analyst - Remote Job/ WFH,Fresh Futures Global,/rc/clk?jk=7ddc8914bd146c56&bb=3acUX7FecYrtmkb49tsI40OoVkTtmJcylZ9uiHTTfd8DnWLwvl_54Nmcmz76egxhcZO2XOgAw-un9iH2MNtiQZuglqipo0kiYwZGi0BbBlw%3D&xkcb=SoD267M3DbSUYrwNHx0NbzkdCdPP&fccid=449b7346df9bf924&vjs=3,"We are seeking a highly skilled and detail-oriented Data Analyst to join our dynamic team. The ideal candidate will possess a strong background in sales and marketing analytics, with experience in Python coding. As a Sales and Marketing Data Analyst, you will be responsible for analysing and interpreting data to provide valuable insights that drive sales and marketing strategies
 Job Description

 Utilise Python coding skills to extract, clean, and analyse large datasets for sales and marketing purposes.
 Develop and maintain data models, dashboards, and reports to track key performance indicators (KPIs) and measure the effectiveness of sales and marketing campaigns.
 Collaborate with cross-functional teams, including sales, marketing, and finance, to identify data-driven opportunities for growth and improvement.
 Conduct an in-depth analysis of sales and marketing data to identify trends, patterns, and opportunities for optimisation.
 Provide actionable recommendations based on data analysis to enhance sales and marketing strategies and drive revenue growth.
 Monitor and evaluate the performance of sales and marketing initiatives, and identify areas for improvement.
 Stay updated with industry trends, best practices, and emerging technologies in sales and marketing analytics.
 Ensure data accuracy and integrity by conducting regular data audits and quality checks.
 Present findings and insights to stakeholders and senior management in a clear and concise manner.
 Collaborate with IT teams to develop and implement data automation and optimisation solutions.

 Qualifications

 Fresh Grad with 1 to 2 years experience with Bachelor's degree in Business, Marketing, Statistics, Computer Science, or a related field.
 Proven experience in sales and marketing analytics, with a strong focus on data analysis and interpretation.
 Proficiency in Python coding, with the ability to extract, clean, and analyse large datasets.
 Strong attention to detail and ability to identify patterns and trends in complex data sets.
 Familiarity with data visualisation tools, such as Tableau or Power BI, to create interactive dashboards and reports.
 Excellent analytical and problem-solving skills, with the ability to translate data into actionable insights.
 Strong communication and presentation skills, with the ability to effectively convey complex data findings to non-technical stakeholders.
 Proactive and self-motivated, with the ability to work independently and manage multiple projects simultaneously.
 Knowledge of sales and marketing principles and strategies is preferred.
 Experience with basic SQL, data warehousing, data scrapping using 3rd party or self-developed tools, and data mining techniques.

 Additional information
 Benefits

 Competitive salary and performance-based incentives.
 Comprehensive training and mentorship programs to support your professional growth."
Big Data Engineer,Megastruck,/rc/clk?jk=10bc62c80671930a&bb=3acUX7FecYrtmkb49tsI42vgT3O24i26W1R5f9_gf25ZlxiAjgXMG4odnvhWPRkTBsifjCZqXJJWSsjR1D5KASOEwkhO2l-nfAAaddBU2E0%3D&xkcb=SoBC67M3DbSUYrwNHx0MbzkdCdPP&fccid=abc911584c68191a&cmp=Megastruck&ti=Data+Engineer&vjs=3,"Job Description: Big Data EngineerResponsibilities:- Design, develop, and maintain big data solutions.- Implement data pipelines and ETL processes to ingest, process, and transform large volumes of data.- Build and optimize data storage solutions, including data lakes and data warehouses.- Develop and deploy scalable and fault-tolerant distributed systems.- Collaborate with data scientists and analysts to support their data needs.- Ensure data quality, integrity, and security throughout the data lifecycle.- Monitor and optimize system performance and resource utilization.- Stay up-to-date with emerging technologies and best practices in big data and distributed computing.Skills and Experience:- Proficiency in programming languages such as Python, Java, or Scala.- Experience with big data technologies such as Hadoop, Spark, Kafka, or Flink.- Knowledge of distributed computing principles and parallel processing techniques.- Familiarity with cloud platforms and services such as AWS, Azure, or Google Cloud Platform.- Strong SQL and NoSQL database skills.- Understanding of data modeling and schema design.- Experience with data visualization tools and techniques.- Excellent problem-solving and analytical skills.Qualification:- Bachelor's or Master's degree in Computer Science, Engineering, or a related field.Job Type: Full-timeSalary: Rs50,000.00 - Rs70,000.00 per month"
Data Scientist (SQL Server),Karma Software Solutions (Pvt) Ltd,/rc/clk?jk=034be35cdc803a1a&bb=3acUX7FecYrtmkb49tsI4_ex7GqRfLmaAkTmJRq1r4-w9X9PPPhzlNd16nSZT__Y9_n6Duw7kjqXxbQjOeP7c1gNgZ4ZGUqH8R5VsK_CIRM%3D&xkcb=SoBC67M3DbSUYqQNHx0LbzkdCdPP&fccid=8065e82ecbfac92e&cmp=Karma-Software-Solutions-%28Pvt%29-Ltd&ti=Data+Scientist&vjs=3,"Job Overview:As a Database Scientist, you will be responsible for conducting advanced research and development in database systems, including data management, optimization, and scalability. You will work on innovative projects to advance the state of the art in database technologies and contribute to solving complex data management challenges.Responsibilities:Research and Development: Conduct research in database systems, including data storage, query processing, indexing, and distributed computing. Develop innovative algorithms and techniques to improve database performance, scalability, and reliability.
Database Architecture: Design and architect database systems, including relational, NoSQL, and NewSQL databases, to meet specific performance, scalability, and availability requirements. Evaluate and recommend database technologies and architectures for different use cases and workloads.
Data Modeling and Analysis: Develop data models and schemas to represent complex data structures and relationships. Analyze and optimize data models for efficient storage, retrieval, and processing of large-scale datasets.
Performance Optimization: Optimize database performance through query optimization, indexing strategies, caching mechanisms, and parallel processing techniques. Benchmark and profile database systems to identify performance bottlenecks and areas for improvement.
Data Security and Privacy: Implement and enforce data security and privacy measures to protect sensitive data stored in databases. Develop and implement encryption, access control, and auditing mechanisms to ensure compliance with regulatory requirements.
Database Administration: Perform database administration tasks, including installation, configuration, tuning, and monitoring of database systems. Manage database backups, replication, and disaster recovery procedures to ensure data availability and integrity.
Collaboration and Communication: Collaborate with cross-functional teams, including software engineers, data scientists, and business analysts, to develop database solutions that meet business requirements. Communicate technical concepts and findings to non-technical stakeholders effectively.Qualifications:Ph.D. or Master's degree in Computer Science, Information Systems, or a related field with a focus on database systems.
Strong background in database systems, including relational databases, NoSQL databases, and distributed database systems.
Proficiency in database programming languages such as SQL, PL/SQL, T-SQL, and experience with database management systems such as Oracle, SQL Server, MySQL, PostgreSQL, MongoDB, Cassandra, etc.Job Type: Part-timeSalary: Rs100,000.00 per monthExpected hours: No more than 28 per weekAbility to Commute:Lahore (Required)Ability to Relocate:Lahore: Relocate before starting work (Required)"
Graduate Data Science Engineer,TEKENABLE,/rc/clk?jk=d32dc7f771e17f49&bb=3acUX7FecYrtmkb49tsI4_sE7YXhz0aiE0Ut42VYJAnqdRYsL1y5NtRJY6J1UdAB5LX8Kmnhg2Yk1cFl3pQEQbwlHMZNZYSiSyq1IXzvM5Y%3D&xkcb=SoD267M3DbSUYqQNHx0KbzkdCdPP&fccid=c843c3ddba4e5622&vjs=3,"J-202402-133
 Pakistan (Islamabad)


 Description


 TEKenable are looking for dynamic and talented recent graduates to join our Graduate Trainee Program 2024 in Data Sciences. This program is designed to provide recent graduates with hands-on experience and training in data analytics, machine learning, and artificial intelligence. As a Graduate Trainee, you will have the opportunity to work on diverse projects, learn from seasoned professionals, and contribute to the evolution of data-driven solutions.

 TEKenable combines 20 years of traditional software development with the very latest low-code cloud platforms to deliver end-to-end digital transformation. At TEKenable we bring the full range of Microsoft & Salesforce technologies and best-of-breed Low-Code platforms. We are an approved Salesforce partner as well as Gold Certified for Azure Cloud and Application Development and a Microsoft Solutions provider. We have extensive experience in legacy systems integration and offer licensing and Azure cloud as Managed Services.

 Key Responsibilities:

 Data Analysis and Visualisation: Acquire proficiency in analyzing large datasets, deriving insights, and presenting findings through visualization tools. Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions.
 Machine Learning and Predictive Modelling: Develop foundational skills in machine learning algorithms and predictive modelling. Work on building and deploying machine learning models to solve real-world business challenges.
 Data Cleansing and Preprocessing: Assist in data cleansing, preprocessing, and transformation to ensure high-quality data for analysis and modeling. Collaborate with data engineers to optimize data pipelines.
 Collaboration and Learning: Actively participate in collaborative projects, knowledge-sharing sessions, and continuous learning opportunities. Attend workshops and training sessions to stay updated on the latest advancements in data sciences.
 Problem Solving: Apply critical thinking and problem-solving skills to address complex data-related challenges. Contribute innovative ideas to enhance the effectiveness of data solutions.


 Qualifications:

 Recent university graduate with a bachelor's degree in Data Science, Computer Science, Statistics, or a related field.
 Solid understanding of data analytics concepts and a keen interest in data sciences.
 Familiarity with programming languages such as Python or R is advantageous.
 Working knowledge of Database systems; SQL and No SQL.
 Some knowledge about Azure Data Platforms eg Azure Data Factory, Azure Synapse analytics, Azure Data Lake, and Microsoft Fabrics.
 Knowledge about notebooks, PySpark.
 Knowledge and interest in AI/ML is a plus
 Strong analytical and problem-solving skills.
 Excellent communication and teamwork abilities.


 Benefits:

 Comprehensive training program in data sciences.
 Exposure to diverse data projects and industry sectors.
 Mentorship from experienced professionals in the field.
 Competitive salary and benefits package.
 Opportunities for career growth and specialisation in data sciences.


 TEKenable was named Technology Business of the Year, was included in the Deloitte Fast50 for 3 years running and won the Fast50 Impact award. We have global reach with operations in Ireland, the UK, Hungry, Spain & UAE and expertise across Financial Services, Healthcare, Agri-Food, and the Public Sector.

 At TEKenable we foster a culture of diversity and inclusion as we pride ourselves on being a company represented by people of all different backgrounds and orientations. We are committed to providing equal employment opportunities regardless of gender, disability, sexual orientation, generation, or belief.

 TEKenable is an equal opportunity employer and encourages candidates from all backgrounds to apply. We look forward to welcoming new talents to our team!"
