Job Title,Company,Link,Job Description
Business Data Analyst - Remote Job/ WFH,Fresh Futures Global,/rc/clk?jk=7ddc8914bd146c56&bb=3acUX7FecYrtmkb49tsI40OoVkTtmJcylZ9uiHTTfd8DnWLwvl_54Nmcmz76egxhcZO2XOgAw-un9iH2MNtiQZuglqipo0kiYwZGi0BbBlw%3D&xkcb=SoD267M3DbSUYrwNHx0NbzkdCdPP&fccid=449b7346df9bf924&vjs=3,"We are seeking a highly skilled and detail-oriented Data Analyst to join our dynamic team. The ideal candidate will possess a strong background in sales and marketing analytics, with experience in Python coding. As a Sales and Marketing Data Analyst, you will be responsible for analysing and interpreting data to provide valuable insights that drive sales and marketing strategies
 Job Description

 Utilise Python coding skills to extract, clean, and analyse large datasets for sales and marketing purposes.
 Develop and maintain data models, dashboards, and reports to track key performance indicators (KPIs) and measure the effectiveness of sales and marketing campaigns.
 Collaborate with cross-functional teams, including sales, marketing, and finance, to identify data-driven opportunities for growth and improvement.
 Conduct an in-depth analysis of sales and marketing data to identify trends, patterns, and opportunities for optimisation.
 Provide actionable recommendations based on data analysis to enhance sales and marketing strategies and drive revenue growth.
 Monitor and evaluate the performance of sales and marketing initiatives, and identify areas for improvement.
 Stay updated with industry trends, best practices, and emerging technologies in sales and marketing analytics.
 Ensure data accuracy and integrity by conducting regular data audits and quality checks.
 Present findings and insights to stakeholders and senior management in a clear and concise manner.
 Collaborate with IT teams to develop and implement data automation and optimisation solutions.

 Qualifications

 Fresh Grad with 1 to 2 years experience with Bachelor's degree in Business, Marketing, Statistics, Computer Science, or a related field.
 Proven experience in sales and marketing analytics, with a strong focus on data analysis and interpretation.
 Proficiency in Python coding, with the ability to extract, clean, and analyse large datasets.
 Strong attention to detail and ability to identify patterns and trends in complex data sets.
 Familiarity with data visualisation tools, such as Tableau or Power BI, to create interactive dashboards and reports.
 Excellent analytical and problem-solving skills, with the ability to translate data into actionable insights.
 Strong communication and presentation skills, with the ability to effectively convey complex data findings to non-technical stakeholders.
 Proactive and self-motivated, with the ability to work independently and manage multiple projects simultaneously.
 Knowledge of sales and marketing principles and strategies is preferred.
 Experience with basic SQL, data warehousing, data scrapping using 3rd party or self-developed tools, and data mining techniques.

 Additional information
 Benefits

 Competitive salary and performance-based incentives.
 Comprehensive training and mentorship programs to support your professional growth."
Big Data Engineer,Megastruck,/rc/clk?jk=10bc62c80671930a&bb=3acUX7FecYrtmkb49tsI42vgT3O24i26W1R5f9_gf25ZlxiAjgXMG4odnvhWPRkTBsifjCZqXJJWSsjR1D5KASOEwkhO2l-nfAAaddBU2E0%3D&xkcb=SoBC67M3DbSUYrwNHx0MbzkdCdPP&fccid=abc911584c68191a&cmp=Megastruck&ti=Data+Engineer&vjs=3,"Job Description: Big Data EngineerResponsibilities:- Design, develop, and maintain big data solutions.- Implement data pipelines and ETL processes to ingest, process, and transform large volumes of data.- Build and optimize data storage solutions, including data lakes and data warehouses.- Develop and deploy scalable and fault-tolerant distributed systems.- Collaborate with data scientists and analysts to support their data needs.- Ensure data quality, integrity, and security throughout the data lifecycle.- Monitor and optimize system performance and resource utilization.- Stay up-to-date with emerging technologies and best practices in big data and distributed computing.Skills and Experience:- Proficiency in programming languages such as Python, Java, or Scala.- Experience with big data technologies such as Hadoop, Spark, Kafka, or Flink.- Knowledge of distributed computing principles and parallel processing techniques.- Familiarity with cloud platforms and services such as AWS, Azure, or Google Cloud Platform.- Strong SQL and NoSQL database skills.- Understanding of data modeling and schema design.- Experience with data visualization tools and techniques.- Excellent problem-solving and analytical skills.Qualification:- Bachelor's or Master's degree in Computer Science, Engineering, or a related field.Job Type: Full-timeSalary: Rs50,000.00 - Rs70,000.00 per month"
Data Scientist (SQL Server),Karma Software Solutions (Pvt) Ltd,/rc/clk?jk=034be35cdc803a1a&bb=3acUX7FecYrtmkb49tsI4_ex7GqRfLmaAkTmJRq1r4-w9X9PPPhzlNd16nSZT__Y9_n6Duw7kjqXxbQjOeP7c1gNgZ4ZGUqH8R5VsK_CIRM%3D&xkcb=SoBC67M3DbSUYqQNHx0LbzkdCdPP&fccid=8065e82ecbfac92e&cmp=Karma-Software-Solutions-%28Pvt%29-Ltd&ti=Data+Scientist&vjs=3,"Job Overview:As a Database Scientist, you will be responsible for conducting advanced research and development in database systems, including data management, optimization, and scalability. You will work on innovative projects to advance the state of the art in database technologies and contribute to solving complex data management challenges.Responsibilities:Research and Development: Conduct research in database systems, including data storage, query processing, indexing, and distributed computing. Develop innovative algorithms and techniques to improve database performance, scalability, and reliability.
Database Architecture: Design and architect database systems, including relational, NoSQL, and NewSQL databases, to meet specific performance, scalability, and availability requirements. Evaluate and recommend database technologies and architectures for different use cases and workloads.
Data Modeling and Analysis: Develop data models and schemas to represent complex data structures and relationships. Analyze and optimize data models for efficient storage, retrieval, and processing of large-scale datasets.
Performance Optimization: Optimize database performance through query optimization, indexing strategies, caching mechanisms, and parallel processing techniques. Benchmark and profile database systems to identify performance bottlenecks and areas for improvement.
Data Security and Privacy: Implement and enforce data security and privacy measures to protect sensitive data stored in databases. Develop and implement encryption, access control, and auditing mechanisms to ensure compliance with regulatory requirements.
Database Administration: Perform database administration tasks, including installation, configuration, tuning, and monitoring of database systems. Manage database backups, replication, and disaster recovery procedures to ensure data availability and integrity.
Collaboration and Communication: Collaborate with cross-functional teams, including software engineers, data scientists, and business analysts, to develop database solutions that meet business requirements. Communicate technical concepts and findings to non-technical stakeholders effectively.Qualifications:Ph.D. or Master's degree in Computer Science, Information Systems, or a related field with a focus on database systems.
Strong background in database systems, including relational databases, NoSQL databases, and distributed database systems.
Proficiency in database programming languages such as SQL, PL/SQL, T-SQL, and experience with database management systems such as Oracle, SQL Server, MySQL, PostgreSQL, MongoDB, Cassandra, etc.Job Type: Part-timeSalary: Rs100,000.00 per monthExpected hours: No more than 28 per weekAbility to Commute:Lahore (Required)Ability to Relocate:Lahore: Relocate before starting work (Required)"
Graduate Data Science Engineer,TEKENABLE,/rc/clk?jk=d32dc7f771e17f49&bb=3acUX7FecYrtmkb49tsI4_sE7YXhz0aiE0Ut42VYJAnqdRYsL1y5NtRJY6J1UdAB5LX8Kmnhg2Yk1cFl3pQEQbwlHMZNZYSiSyq1IXzvM5Y%3D&xkcb=SoD267M3DbSUYqQNHx0KbzkdCdPP&fccid=c843c3ddba4e5622&vjs=3,"J-202402-133
 Pakistan (Islamabad)


 Description


 TEKenable are looking for dynamic and talented recent graduates to join our Graduate Trainee Program 2024 in Data Sciences. This program is designed to provide recent graduates with hands-on experience and training in data analytics, machine learning, and artificial intelligence. As a Graduate Trainee, you will have the opportunity to work on diverse projects, learn from seasoned professionals, and contribute to the evolution of data-driven solutions.

 TEKenable combines 20 years of traditional software development with the very latest low-code cloud platforms to deliver end-to-end digital transformation. At TEKenable we bring the full range of Microsoft & Salesforce technologies and best-of-breed Low-Code platforms. We are an approved Salesforce partner as well as Gold Certified for Azure Cloud and Application Development and a Microsoft Solutions provider. We have extensive experience in legacy systems integration and offer licensing and Azure cloud as Managed Services.

 Key Responsibilities:

 Data Analysis and Visualisation: Acquire proficiency in analyzing large datasets, deriving insights, and presenting findings through visualization tools. Collaborate with cross-functional teams to understand business requirements and translate them into data-driven solutions.
 Machine Learning and Predictive Modelling: Develop foundational skills in machine learning algorithms and predictive modelling. Work on building and deploying machine learning models to solve real-world business challenges.
 Data Cleansing and Preprocessing: Assist in data cleansing, preprocessing, and transformation to ensure high-quality data for analysis and modeling. Collaborate with data engineers to optimize data pipelines.
 Collaboration and Learning: Actively participate in collaborative projects, knowledge-sharing sessions, and continuous learning opportunities. Attend workshops and training sessions to stay updated on the latest advancements in data sciences.
 Problem Solving: Apply critical thinking and problem-solving skills to address complex data-related challenges. Contribute innovative ideas to enhance the effectiveness of data solutions.


 Qualifications:

 Recent university graduate with a bachelor's degree in Data Science, Computer Science, Statistics, or a related field.
 Solid understanding of data analytics concepts and a keen interest in data sciences.
 Familiarity with programming languages such as Python or R is advantageous.
 Working knowledge of Database systems; SQL and No SQL.
 Some knowledge about Azure Data Platforms eg Azure Data Factory, Azure Synapse analytics, Azure Data Lake, and Microsoft Fabrics.
 Knowledge about notebooks, PySpark.
 Knowledge and interest in AI/ML is a plus
 Strong analytical and problem-solving skills.
 Excellent communication and teamwork abilities.


 Benefits:

 Comprehensive training program in data sciences.
 Exposure to diverse data projects and industry sectors.
 Mentorship from experienced professionals in the field.
 Competitive salary and benefits package.
 Opportunities for career growth and specialisation in data sciences.


 TEKenable was named Technology Business of the Year, was included in the Deloitte Fast50 for 3 years running and won the Fast50 Impact award. We have global reach with operations in Ireland, the UK, Hungry, Spain & UAE and expertise across Financial Services, Healthcare, Agri-Food, and the Public Sector.

 At TEKenable we foster a culture of diversity and inclusion as we pride ourselves on being a company represented by people of all different backgrounds and orientations. We are committed to providing equal employment opportunities regardless of gender, disability, sexual orientation, generation, or belief.

 TEKenable is an equal opportunity employer and encourages candidates from all backgrounds to apply. We look forward to welcoming new talents to our team!"
Graduate Data Science Engineer,TecNext,/pagead/clk?mo=r&ad=-6NYlbfkN0B2e5EdipR-WC5_evq-gnEZbiA90G0a1m6ohXjxFwNI43NXV5gBBQC43l-D0FEDWpU2wRHcHnCQIKDTVet8zMUaiHmWW3QMyElBImUk8GD2xzvIU-xD3Du9au5ZuPHR525myHNVFG3GKP0Fy05nsJwg7LQluJdlweD3vQlLxKdRYH7PDdfu_zIcRAuR___5-gzVuCfZ04tk2DVTj3XbmwT0yKltdAbF_p2yzNlGKYxPQGNeD4WoSd3somo8O4DZRfoAZ8U3vQlato6Hfujx0fMWh6RwrVuhy4olSSkqreVD-RoW8lmzPTrUVCMlqbXRFzeEWGlkkLUJxkKz4VkU6I7SV9nvVjeIxMinqoO0xmRe1mJm9OLCIn8PfbaS0mBzJgQvi65ioEZalutxvT7tB6YYAiZnLMefK6Y2LiEpDIEGM7kHA0ekNRwbB--Omd22Fk1V37tgBRmCZHojd06aWoNbITkvMKyerbw9hVCzOQwebD0WsdmdbEyNlvf9giSi2aTonpqPlubbyYkIx_DZxdfoeO7Tn6bAhTwlpFBIKhlZCvYCG7CyfQVrxO_aZUqeh9mxCeLAEJlvk1J651AhxqdQEXtPw8cFKgRFFRsFm_xU-pOICFMY1obSxMLYDSF83wc=&xkcb=SoCf6_M3DbSUYqQNHx0JbzkdCdPP&camk=f416UQcMBpAHTJ2kzJW4Hw==&p=10&fvj=1&vjs=3,"Job descriptionTecNext is looking for an innovative, results-oriented, passionate Senior Magento full stack developer with extensive experience in leading development and rollout of Magento based services for our clients.(Only highly experienced magento professionals with experience of leading development and rollout of end to end magento based eCommerce system shall be considered).ResponsibilitiesLeading the development team in the design, development, coding, testing and debugging of applications
Managing all the activities of the software development team and setting goals for each team member to ensure timely project delivery
Keep up to date with the latest development software
Developing modern, fast eCommerce websites using Magento 2
Developing in other web frameworks and CMS such as Laravel and Wordpress
Create custom Extensions in addition to being well-versed in front-end development of Magento and other eCommerce CMS
Hire and train new developers
Provide guidance to the team and ensure they adhere to development standardsSkills/ExperienceMaster’s or Bachelor’s degree in Software Engineering, Computer Science, or a related field
7+ years of experience (postgraduate) with expert knowledge of Magento 2 with demonstrable experience in delivering enterprise-scale eCommerce capability
Experience within a complex heterogenous eCommerce environment and coordinating with other internal development groups
Good Exposure to Headless Commerce
Knowledge of Magento 2 (Magento as a minimum) core framework and architecture
Have an understanding of Magento’s capabilities (inc. multiple sites/stores/views, cross-selling capability, currency and tax, subscription-based and digital products, promotions/trials/bundles, etc.)
Excellent JS and CSS skills
Excellent understanding of Web Services - REST API's
Knowledge of programming techniques, including OOP (Object Oriented Programming)
Well versed in Database and data manipulation and data migrations
Experience of Magento’s B2B functionality and service-based eCommerce system integration (inc. real-time, batch, sync/async)
Experience in the effective integration of Magento with other up/down-stream business systems (inc. inventory/product feeds, payment gateways, fulfilment chains, CMS, etc.)
Excellent web and database programming skills
Excellent problem-solving skills
A very good understanding of Vanilla JavaScript, jQuery and HTML5
Good CSS styling skills (SASS and SCSS)
Understanding of GIT version controlJob Type: Full-timeSalary: Rs150,000.00 - Rs300,000.00 per monthAbility to commute/relocate:Islamabad: Reliably commute or planning to relocate before starting work (Required)"
Data Analyst - Slickcall Mobile App,King Revolution Inc,/rc/clk?jk=9748329a2bbb6344&bb=3acUX7FecYrtmkb49tsI45rKLkPkwOpxZ-tNW9qfwvG5dDQYX2k_GXFUaHGNkbpFUN3CUj2N0G3E46SEUjxPSg4Z092Hk4lE8OladtdzueM%3D&xkcb=SoBR67M3DbSUYqQNHx0PbzkdCdPP&fccid=44168a67a91dd495&cmp=King-Revolution-Inc&ti=Data+Analyst&vjs=3,"We seek a highly motivated and skilled Data Analyst to join our team at Slickcall, a leading mobile app in the telecommunications industry. As a Data Analyst, you will be crucial in extracting actionable insights from our vast datasets to drive data-informed decision-making. The ideal candidate should have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming raw data into valuable business insights.Key Responsibilities:Data Collection and Processing:Gather and process large volumes of data from various sources, ensuring data accuracy and integrity.Work closely with cross-functional teams to understand data requirements and design efficient data collection processes.Data Analysis and Interpretation:Perform exploratory data analysis to identify trends, patterns, and outliers.Utilize statistical techniques to derive meaningful insights and present findings clearly and concisely.Report Generation and Visualization:Create and maintain reports and dashboards to track key performance indicators (KPIs) and metrics.Develop visually appealing data visualizations that effectively communicate complex information to stakeholders.Performance Monitoring:Monitor the performance of the Slickcall mobile app through analysis of user engagement, retention, and other relevant metrics.Collaborate with the development team to identify areas for improvement based on data-driven findings.A/B Testing:Design and implement A/B tests to evaluate the impact of changes and new features on user behavior.Analyze test results to provide actionable recommendations for product enhancements.Predictive Analytics:Use predictive modeling to forecast future trends and user behavior, contributing to strategic planning and decision-making.Collaboration and Communication:Collaborate with cross-functional teams, including product managers, developers, and marketing, to support data-driven decision-making.Communicate findings and insights to technical and non-technical stakeholders through reports and presentations.Analytics Skills:Strong analytical skills are required. This includes the ability to gather, organize, analyze, and interpret data to identify patterns and trends .Technical Skills:Proficiency in data analysis tools and programming languages commonly used in the field such as SQL, Python, R, Excel, or Tableau is often required. Knowledge of statistical techniques and methodologies may also be necessary.Data Visualization:Experience with data visualization tools and techniques to effectively communicate insights and findings to stakeholders.Problem-Solving Skills:The ability to approach problems logically and systematically, and to develop creative solutions to complex data-related challenges.Communication Skills:Strong written and verbal communication skills are required for conveying technical information to non-technical stakeholders and collaborating with team members.Attention to DetailBusiness Acumen:Understanding of the business context in which the data analysis is being performed, and the ability to translate business requirements into data analysis tasks.Teamwork:Ability to work collaboratively with cross-functional teams, including data engineers, business analysts, and other stakeholders, to achieve common goals.Continuous Learning:Demonstrated commitment to staying updated with the latest trends, technologies, and methodologies in the field of data analysis.Education:A bachelor's degree in the IT Field, with knowledge of Statistics, Mathematics, and Computer science.Experience:2-3 yearsJob Type: Full-timePay: Rs100,000.00 - Rs120,000.00 per monthAbility to Commute:Lahore (Required)Ability to Relocate:Lahore: Relocate before starting work (Required)"
Data Scientist - Plutus21 Capital,Qureos Inc,/rc/clk?jk=14723f37e394643b&bb=gaZObMdYoB7VPF_8BNlzWE9Ywhdbk6V2x9BPtDLdhj1Y9ZWzxItgZR9u5-gQ6CiQShd84ZrbZjZ48yktmHyst4mHeU70M7LS_7VVFyqwEn4%3D&xkcb=SoDC67M3DbSTVvwHJZ0IbzkdCdPP&fccid=1f14d0072a3d2e63&vjs=3,"Job Type: Full-time  Years of Experience: 2-4  Industry: Financial Technology  Education: Bachelors in Computer Science, Engineering or a related field.  Role Summary: Plutus21 Capital is looking for an experienced Data Scientist to join our team. The ideal candidate should have at least 2-4 years of experience in the data science field and the ability to communicate complex data in a simple, actionable way. Additionally, the candidate should have the ability to visualize data in the most effective way possible for a given project or study. The candidate should have the ability to work independently and with team members from different backgrounds. 
Responsibilities: 

Manage large amounts of data despite hardware, software, and bandwidth constraint.
Merge data sources; ensure consistency of data sets.
Create visualizations to aid in understanding data.
Build mathematical models using the data. Present and communicate the data insights/findings, quantitative research 
 
Requirements: 

Exceptional technical writing skills
Ability to communicate complex data in a simple, actionable way
Ability to visualize data in the most effective way possible for a given project or study
Analytical and problem-solving skills
Experience with machine learning and AI
Familiarity with data management tools, data structures and logics
Ability to work independently and with team members from different backgrounds
Excellent attention to detail


 Skills Required: Python, R, SQL, Statistical Analysis"
Internship in Python Data Science or AI Intern,digicon valley,/rc/clk?jk=539fc0eac0f87d93&bb=gaZObMdYoB7VPF_8BNlzWMdg-LfGD_QDjlRFqjnAgUdqHbg1afl994FSqsRSiQ6Ko8YtdACccbqc01Igc6OJKaWinx2JsUPtV7lCplp2eGs%3D&xkcb=SoD467M3DbSTVvwHJZ0ObzkdCdPP&fccid=39f0870eea7d6100&cmp=digicon-valley&ti=Data+Science+Intern&vjs=3,"Free Learning Base InternshipWe are seeking a dynamic and motivated individual to join our team as a Python/Django Data Science and AI Intern. As an intern, you will have the opportunity to work on real-world projects, gain hands-on experience, and contribute to the development of cutting-edge solutions in the fields of data science and artificial intelligence. This internship is ideal for candidates with a strong foundation in Python, Django, and a passion for exploring the applications of data science and AI.Key Responsibilities:Software Development: Collaborate with our development team to design, implement, and maintain Python/Django applications.Data Analysis: Work on data-driven projects, analyze large datasets, and derive meaningful insights.Machine Learning and AI: Assist in the development and implementation of machine learning models and AI algorithms.Database Management: Manage and optimize databases to support efficient data processing.Collaboration: Work closely with cross-functional teams to understand project requirements and deliver solutions that meet business objectives.Documentation: Document code and project-related activities for future reference and knowledge sharing.Qualifications:Enrolled in or recently graduated from a relevant undergraduate or graduate program in Computer Science, Data Science, or a related field.Good problem-solving skills and attention to detail.Effective communication and teamwork skills.Ability to learn quickly and adapt to new technologies and challenges.Job Type: Full-time"
Data Entry Operator,"Lahore, Punjab",/rc/clk?jk=1303d8a2e85f817e&bb=gaZObMdYoB7VPF_8BNlzWD8M48PyWS1MEtK_iUh3PiySu0ykJmYCV1j658VLQ1SuARgXDoDApT_FyAdrZbrTOv-kX4Jh3Jr0fyMCMxuXdjg%3D&xkcb=SoDR67M3DbSTVvwHJZ0MbzkdCdPP&fccid=990c03119e359648&vjs=3,"SolutionInn is looking for an efficient “Data Entry Operator”. The role is charged with communication, monitoring and coordinating the acquisition and format the content in data repositories. We are seeking a motivated, analytical and dedicated individual to assist in all manners. The ideal candidate should be detail-oriented, energetic and computer-literate. If you are interested in joining SolutionInn team, apply below and tell us what inspires you about SolutionInn and why do you think you are a perfect fit for our team.




Job Responsibilities


Perform required formatting operations using computer skills on data repository files. 
Identify duplicity of entered content and take appropriate action. 
Verify the content by reviewing, deleting or reentering data. 
Compile and verify the data accuracy according to source data of repository. 
Ensure that all the content is consistent and as per the set quality procedures and standards. 
Error correction and content verification, using data repositories and basic knowledge. 
Contribute to team effort by accomplishing related results as needed.



Skills Required


Strong written and verbal communication. 
Basic Computer Knowledge and a mix of soft skills. 
Ability to identify and perform basic technical and creative evaluation of content. 
Flexibility to meet changing deadlines. 
Openness to creative learning and idea generating. 
Proficiency in MS Office.



Required Qualifications


Bachelors (Business/Engineering/Sciences)




Job Experience


0 – 1 year of relevant experience (i.e. content acquisition/content writing/teaching coordinator/teacher assistant).




Other Benefits


Mobile Allowance. 
Paid Time Off. 
Travel Allowance. 
Bonuses. 
Entertainment Allowances. 
Grocery Allowance.




Job Working Hours
09:00AM – 06:00PM


Equal Employment Opportunities
We provide Equal Employment Opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, national origin, age, disability or genetics. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, compensation, and training."
Data Specialist,Hiring organization,/rc/clk?jk=18edd29f74f02ff0&bb=gaZObMdYoB7VPF_8BNlzWP7BZisBtToDQyHJCmfXW1M4CFFEDxF2T53PGLVHSePQ7sPflab6OqiLuzOepoHwFuO2_TRYBdTkji3OxZjvAH4%3D&xkcb=SoA467M3DbSTVvwHJZ0DbzkdCdPP&fccid=1ec2998a82010bb7&vjs=3,"Description

 Diversity& Inclusion
 We are an Equal Opportunity Employer and seek to hire the best candidate regardless of age, beliefs, disability, ethnicity, gender or sexual orientation.
 Job Responsibilities:

Manage, maintain and cater to POS master data according to SLAs defined.
Manage Stakeholders and ideally provide level 3 support for any work related to master data. (At least level 2 support needed).
Take data ownership and act as a POC for all data-oriented queries.
Able to troubleshoot data-oriented problems by performing root cause analysis, while communicating findings with the team and solving the problem with an optimal solution.
Able to address use-case and business needs and propose possible solutions based on the data knowledge.

Skills:

MS Excel, Power BI.
Exceptional communication skills.
Impact analysis.
Root cause analysis.
Critical problem solving.
Attention to detail.
Stakeholder management.
Accountability and data ownership.
Able to understand, evaluate and propose solutions based on the knowledge of system in place.
Ability to work under pressure and meet deadlines communicated.




Qualifications

 Job Qualifications:

Must have a bachelors in computer science or any other relevant degree.
Must have 3-4 years of experience in the relevant field."
